'that', 'political' | In regular: 0 | In spam: 1
'features', 'said' | In regular: 0 | In spam: 1
'brokered', 'headlines' | In regular: 0 | In spam: 1
'ingredient', 'links' | In regular: 0 | In spam: 1
'place', 'later' | In regular: 0 | In spam: 1
'begin', 'educationguardian' | In regular: 0 | In spam: 1
'seems', 'math' | In regular: 0 | In spam: 1
'arial', 'sans' | In regular: 0 | In spam: 2
'garden', 'mean' | In regular: 0 | In spam: 1
'marked', 'more' | In regular: 1 | In spam: 0
'', 'xacceptlang' | In regular: 1 | In spam: 0
'writer', 'started' | In regular: 0 | In spam: 1
'florida', 'unambiguous' | In regular: 0 | In spam: 1
'music', 'videos' | In regular: 0 | In spam: 1
'brotherhood', 'chaorongbrakebzkgcom' | In regular: 0 | In spam: 1
'minutes', 'before' | In regular: 1 | In spam: 1
'sizedsimply', 'bestfontdiv' | In regular: 1 | In spam: 0
'losepounds', '' | In regular: 0 | In spam: 1
'arial', 'background' | In regular: 0 | In spam: 1
'show', 'could' | In regular: 0 | In spam: 1
'show', 'without' | In regular: 0 | In spam: 1
'will', 'thin' | In regular: 0 | In spam: 1
'krddartinc', 'offsetparent' | In regular: 0 | In spam: 1
'militia', 'both' | In regular: 0 | In spam: 1
'columnists', 'potent' | In regular: 0 | In spam: 1
'working', 'full' | In regular: 0 | In spam: 1
'turn', 'educational' | In regular: 0 | In spam: 1
'partners', 'deborah' | In regular: 0 | In spam: 1
'reports', 'jobs' | In regular: 0 | In spam: 1
'georgia', 'institute' | In regular: 1 | In spam: 0
'her', 'have' | In regular: 0 | In spam: 1
'facedarial', 'sizedmanned' | In regular: 1 | In spam: 0
'shot', 'conflict' | In regular: 0 | In spam: 1
'forwarded', 'formal' | In regular: 0 | In spam: 1
'yongkim', 'chong' | In regular: 1 | In spam: 0
'parseint', 'photo' | In regular: 0 | In spam: 1
'gust', 'jobs' | In regular: 0 | In spam: 1
'life', 'initwidth' | In regular: 0 | In spam: 1
'lock', 'before' | In regular: 0 | In spam: 3
'advance', 'from' | In regular: 0 | In spam: 1
'vaclavjuchahotmailcom', 'hnghihotmailcom' | In regular: 0 | In spam: 1
'phrase', 'mixed' | In regular: 0 | In spam: 1
'popular', 'left' | In regular: 0 | In spam: 1
'beginning', 'font' | In regular: 0 | In spam: 1
'beijing', 'reuters' | In regular: 1 | In spam: 0
'speeds', 'have' | In regular: 1 | In spam: 0
'into', 'change' | In regular: 0 | In spam: 1
'stories', 'began' | In regular: 0 | In spam: 1
'this', 'right' | In regular: 1 | In spam: 0
'handwriting', 'recognition' | In regular: 2 | In spam: 0
'function', 'many' | In regular: 0 | In spam: 1
'chowderheads', 'useragent' | In regular: 0 | In spam: 1
'width', 'with' | In regular: 0 | In spam: 1
'adsrv', 'document' | In regular: 0 | In spam: 1
'text', 'mouts' | In regular: 0 | In spam: 1
'business', 'presence' | In regular: 0 | In spam: 1
'dennis', 'nowak' | In regular: 1 | In spam: 0
'arkansas', 'background' | In regular: 0 | In spam: 1
'statements', 'include' | In regular: 0 | In spam: 1
'martelli', 'weather' | In regular: 0 | In spam: 1
'document', 'creates' | In regular: 0 | In spam: 1
'scrolls', 'explores' | In regular: 0 | In spam: 1
'comma', 'markets' | In regular: 0 | In spam: 1
'andre', 'duchamp' | In regular: 1 | In spam: 0
'capitol', 'works' | In regular: 0 | In spam: 1
'that', 'limbaugh' | In regular: 0 | In spam: 1
'cite', 'most' | In regular: 1 | In spam: 0
'edges', 'with' | In regular: 0 | In spam: 1
'predetermined', 'orbit' | In regular: 2 | In spam: 0
'feedback', 'winopts' | In regular: 0 | In spam: 1
'information', 'wwwtwktuebingenmpgde' | In regular: 1 | In spam: 0
'', 'december' | In regular: 2 | In spam: 0
'cookie', 'award' | In regular: 0 | In spam: 1
'unaware', 'manager' | In regular: 0 | In spam: 1
'this', 'updatelayer' | In regular: 0 | In spam: 1
'divid', 'positioning' | In regular: 0 | In spam: 1
'them', 'supposedly' | In regular: 0 | In spam: 1
'small', 'town' | In regular: 0 | In spam: 1
'provides', 'nothing' | In regular: 0 | In spam: 1
'will', 'elem' | In regular: 0 | In spam: 1
'bunny', 'deadly' | In regular: 0 | In spam: 1
'hand', 'thousands' | In regular: 0 | In spam: 1
'renato', 'keo' | In regular: 0 | In spam: 1
'gustafson', 'rgcrxfhyahoocom' | In regular: 0 | In spam: 2
'tuesday', '' | In regular: 0 | In spam: 1
'topics', 'interests' | In regular: 1 | In spam: 0
'concerning', 'cypm' | In regular: 0 | In spam: 1
'phrase', 'font' | In regular: 0 | In spam: 1
'limbaugh', 'bigoted' | In regular: 0 | In spam: 1
'shiny', 'metal' | In regular: 0 | In spam: 1
'advantage', 'nowrefinancebill' | In regular: 0 | In spam: 2
'psychostimulant', 'sensitization' | In regular: 1 | In spam: 0
'genetics', 'oxford' | In regular: 1 | In spam: 0
'joanne', 'leaney' | In regular: 1 | In spam: 0
'xcdzri', 'ezgs' | In regular: 0 | In spam: 1
'patients', 'whimper' | In regular: 0 | In spam: 1
'nuevo', 'function' | In regular: 0 | In spam: 1
'that', 'helvetica' | In regular: 0 | In spam: 1
'across', 'oceans' | In regular: 0 | In spam: 1
'samapohotmailcom', 'palesarhotmailcom' | In regular: 0 | In spam: 1
'hthe', 'autoclass' | In regular: 1 | In spam: 0
'asked', 'huisan' | In regular: 0 | In spam: 1
'this', 'files' | In regular: 0 | In spam: 1
'printer', 'needs' | In regular: 0 | In spam: 1
'weight', 'seems' | In regular: 0 | In spam: 1
'city', 'left' | In regular: 0 | In spam: 1
'world', 'research' | In regular: 1 | In spam: 0
'this', 'went' | In regular: 0 | In spam: 1
'there', 'educationguardian' | In regular: 0 | In spam: 1
'science', 'neurobiopsychology' | In regular: 1 | In spam: 0
'egebjerg', 'morten' | In regular: 1 | In spam: 0
'none', 'enter' | In regular: 0 | In spam: 1
'requestdomain', 'thewindow' | In regular: 0 | In spam: 1
'nelson', 'through' | In regular: 0 | In spam: 1
'activation', 'with' | In regular: 1 | In spam: 0
'panel', 'just' | In regular: 0 | In spam: 1
'optionaljsfunction', 'workers' | In regular: 0 | In spam: 1
'function', 'that' | In regular: 0 | In spam: 1
'order', 'generate' | In regular: 0 | In spam: 1
'burger', 'king' | In regular: 0 | In spam: 1
'explained', 'late' | In regular: 0 | In spam: 1
'reactive', 'coordination' | In regular: 1 | In spam: 0
'contributed', 'textdecoration' | In regular: 0 | In spam: 1
'movie', 'morph' | In regular: 0 | In spam: 1
'vertical', 'dramatically' | In regular: 0 | In spam: 1
'mind', 'that' | In regular: 0 | In spam: 1
'possible', 'platform' | In regular: 0 | In spam: 1
'getelementbyid', 'think' | In regular: 0 | In spam: 1
'remote', 'control' | In regular: 0 | In spam: 1
'altspectral', 'values' | In regular: 1 | In spam: 0
'xacceptlanguage', 'enus' | In regular: 5 | In spam: 0
'useragent', '' | In regular: 6 | In spam: 0
'sounds', 'free' | In regular: 0 | In spam: 1
'classdrnbspgt', 'free' | In regular: 0 | In spam: 2
'', 'msgidaddedbymta' | In regular: 0 | In spam: 1
'heaviest', 'flying' | In regular: 0 | In spam: 1
'more', 'long' | In regular: 0 | In spam: 1
'function', 'star' | In regular: 0 | In spam: 1
'bills', 'maybe' | In regular: 0 | In spam: 2
'widthd', 'borderda' | In regular: 0 | In spam: 2
'before', 'opinion' | In regular: 0 | In spam: 1
'siamese', 'tweeling' | In regular: 1 | In spam: 0
'true', 'fan' | In regular: 0 | In spam: 1
'receive', 'variables' | In regular: 0 | In spam: 1
'make', 'world' | In regular: 1 | In spam: 0
'have', 'lawyers' | In regular: 0 | In spam: 1
'width', 'getwidth' | In regular: 0 | In spam: 1
'divfont', 'facedarial' | In regular: 66 | In spam: 0
'resizefix', 'news' | In regular: 0 | In spam: 1
'heemskerkrobhotmailcom', 'noiselokihotmailcom' | In regular: 0 | In spam: 1
'sizedproblems', 'from' | In regular: 1 | In spam: 0
'yuth', 'humn' | In regular: 0 | In spam: 1
'first', 'success' | In regular: 1 | In spam: 0
'write', 'krdregistration' | In regular: 0 | In spam: 1
'bbcshop', 'where' | In regular: 0 | In spam: 1
'beginning', 'wallpaper' | In regular: 0 | In spam: 1
'which', 'completed' | In regular: 1 | In spam: 0
'jcouohhotmailcom', 'duartefahotmailcom' | In regular: 0 | In spam: 1
'warranties', 'mbulacuadvancedglobalnetcom' | In regular: 0 | In spam: 3
'beginners', 'visit' | In regular: 0 | In spam: 1
'templates', 'main' | In regular: 0 | In spam: 2
'running', 'with' | In regular: 0 | In spam: 1
'edmondson', 'overrated' | In regular: 0 | In spam: 1
'fatxahotmailcom', 'shaniellechotmailcom' | In regular: 0 | In spam: 1
'multipart', 'message' | In regular: 8 | In spam: 0
'bbannedthe', 'hiltn' | In regular: 0 | In spam: 1
'expression', 'forebrain' | In regular: 1 | In spam: 0
'each', 'function' | In regular: 0 | In spam: 1
'your', 'cookies' | In regular: 0 | In spam: 1
'address', 'member' | In regular: 1 | In spam: 0
'forty', 'year' | In regular: 0 | In spam: 4
'winopts', 'iraq' | In regular: 0 | In spam: 1
'prototype', 'have' | In regular: 0 | In spam: 2
'call', 'register' | In regular: 0 | In spam: 1
'multispectral', 'processing' | In regular: 1 | In spam: 0
'putathotmailcom', 'jmhotmailcom' | In regular: 0 | In spam: 1
'pick', 'start' | In regular: 0 | In spam: 1
'arithmetic', 'shunting' | In regular: 1 | In spam: 0
'ascending', 'visceral' | In regular: 1 | In spam: 0
'speaker', 'maguire' | In regular: 1 | In spam: 0
'world', 'your' | In regular: 0 | In spam: 1
'days', 'else' | In regular: 0 | In spam: 1
'indexof', 'believed' | In regular: 0 | In spam: 1
'diarra', 'africa' | In regular: 0 | In spam: 1
'throughout', 'production' | In regular: 0 | In spam: 1
'ralafuhotmailcom', 'tazzhotmailcom' | In regular: 0 | In spam: 1
'warranty', 'coverage' | In regular: 0 | In spam: 6
'squad', 'plan' | In regular: 0 | In spam: 1
'invitational', 'conference' | In regular: 1 | In spam: 0
'christian', 'frisch' | In regular: 1 | In spam: 0
'privacy', 'fiction' | In regular: 0 | In spam: 1
'position', 'arbor' | In regular: 2 | In spam: 0
'means', 'publish' | In regular: 0 | In spam: 1
'inc', 'otcbb' | In regular: 0 | In spam: 1
'proud', 'happyi' | In regular: 0 | In spam: 1
'survey', 'will' | In regular: 1 | In spam: 0
'health', 'psychology' | In regular: 1 | In spam: 0
'join', 'program' | In regular: 0 | In spam: 1
'serif', 'categories' | In regular: 0 | In spam: 1
'subgroups', 'stars' | In regular: 1 | In spam: 0
'which', 'lived' | In regular: 0 | In spam: 1
'sent', 'saturday' | In regular: 0 | In spam: 5
'cell', 'linederived' | In regular: 1 | In spam: 0
'keep', 'taking' | In regular: 0 | In spam: 1
'resize', 'financial' | In regular: 0 | In spam: 1
'clapped', 'cheered' | In regular: 1 | In spam: 0
'hacks', 'while' | In regular: 0 | In spam: 1
'sap', 'tue' | In regular: 0 | In spam: 1
'ca', 'dendrites' | In regular: 1 | In spam: 0
'couldnt', 'concluded' | In regular: 0 | In spam: 1
'best', 'rates' | In regular: 0 | In spam: 1
'its', 'your' | In regular: 0 | In spam: 1
'ebiz', 'science' | In regular: 0 | In spam: 1
'poeti', 'stopped' | In regular: 0 | In spam: 1
'keep', 'germanborn' | In regular: 0 | In spam: 1
'suggestion', 'write' | In regular: 0 | In spam: 1
'font', 'colorgan' | In regular: 0 | In spam: 1
'knife', 'from' | In regular: 0 | In spam: 1
'this', 'debug' | In regular: 0 | In spam: 1
'submitting', 'bold' | In regular: 0 | In spam: 1
'below', 'latest' | In regular: 1 | In spam: 0
'percent', 'your' | In regular: 0 | In spam: 1
'still', 'worth' | In regular: 0 | In spam: 1
'this', 'assignment' | In regular: 1 | In spam: 0
'rowena', 'story' | In regular: 0 | In spam: 1
'american', 'intercontinental' | In regular: 0 | In spam: 1
'nonimaginable', 'that' | In regular: 0 | In spam: 1
'widthd', 'borderd' | In regular: 0 | In spam: 11
'liberia', 'algeria' | In regular: 0 | In spam: 1
'that', 'spent' | In regular: 0 | In spam: 1
'supported', 'table' | In regular: 0 | In spam: 1
'accuse', 'staff' | In regular: 0 | In spam: 1
'didnt', 'anything' | In regular: 0 | In spam: 1
'wales', 'guardian' | In regular: 0 | In spam: 1
'anti', 'army' | In regular: 0 | In spam: 1
'newspapers', 'hawkes' | In regular: 0 | In spam: 1
'into', 'room' | In regular: 0 | In spam: 1
'version', 'mentioned' | In regular: 0 | In spam: 1
'discrimination', 'search' | In regular: 0 | In spam: 1
'showers', 'sanitised' | In regular: 0 | In spam: 1
'electronic', 'access' | In regular: 1 | In spam: 0
'color', 'cursor' | In regular: 0 | In spam: 1
'getinlinetop', 'similar' | In regular: 0 | In spam: 1
'overall', 'trick' | In regular: 0 | In spam: 1
'scientists', 'image' | In regular: 1 | In spam: 0
'leianallenhotmailcom', 'kellyegordonhotmailcom' | In regular: 0 | In spam: 1
'borderd', 'cellspacingd' | In regular: 0 | In spam: 2
'case', 'film' | In regular: 0 | In spam: 1
'takes', 'advice' | In regular: 0 | In spam: 1
'bordertrtdfont', 'facecourier' | In regular: 0 | In spam: 19
'neuroscience', 'projects' | In regular: 1 | In spam: 0
'broadcast', 'delayedfontdiv' | In regular: 1 | In spam: 0
'itself', 'believed' | In regular: 1 | In spam: 0
'bbci', 'else' | In regular: 0 | In spam: 1
'reader', 'uses' | In regular: 1 | In spam: 0
'false', 'reserved' | In regular: 0 | In spam: 1
'name', 'schwarzenegger' | In regular: 0 | In spam: 1
'from', 'data' | In regular: 1 | In spam: 0
'next', 'home' | In regular: 0 | In spam: 2
'returnpath', 'rgcrxfhyahoocom' | In regular: 0 | In spam: 1
'from', 'pjorritsmaairugnl' | In regular: 1 | In spam: 0
'from', 'mbueeattcom' | In regular: 0 | In spam: 1
'useragent', 'squirrelmail' | In regular: 1 | In spam: 0
'hkruschinskihotmailcom', 'emfarmerhotmailcom' | In regular: 0 | In spam: 1
'article', 'position' | In regular: 0 | In spam: 1
'background', 'chocolate' | In regular: 0 | In spam: 1
'rises', 'visibility' | In regular: 0 | In spam: 1
'device', 'check' | In regular: 0 | In spam: 1
'window', 'else' | In regular: 0 | In spam: 2
'financial', 'write' | In regular: 0 | In spam: 1
'both', 'defined' | In regular: 0 | In spam: 1
'went', 'plaza' | In regular: 0 | In spam: 1
'left', 'x' | In regular: 1 | In spam: 0
'april', 'leipzig' | In regular: 1 | In spam: 0
'cast', 'sharp' | In regular: 2 | In spam: 0
'krizsanagbas', 'pedchenko' | In regular: 1 | In spam: 0
'mgluri', 'activation' | In regular: 1 | In spam: 0
'news', 'that' | In regular: 0 | In spam: 1
'where', 'royal' | In regular: 1 | In spam: 0
'denied', 'poor' | In regular: 0 | In spam: 1
'padding', 'document' | In regular: 0 | In spam: 1
'sizedyang', 'part' | In regular: 1 | In spam: 0
'online', 'turn' | In regular: 0 | In spam: 1
'clickbelowcaps', '' | In regular: 0 | In spam: 3
'relationships', 'among' | In regular: 0 | In spam: 2
'name', 'imgname' | In regular: 0 | In spam: 1
'conducting', 'testing' | In regular: 0 | In spam: 1
'daily', 'grinder' | In regular: 0 | In spam: 1
'spent', 'going' | In regular: 0 | In spam: 1
'thanks', 'your' | In regular: 1 | In spam: 0
'vereniging', 'voor' | In regular: 1 | In spam: 0
'power', 'region' | In regular: 1 | In spam: 0
'hearing', 'research' | In regular: 1 | In spam: 0
'dansfieldhotmailcom', 'nietsnieehotmailcom' | In regular: 0 | In spam: 1
'awindow', 'city' | In regular: 0 | In spam: 1
'publisher', 'scholastic' | In regular: 0 | In spam: 1
'miami', 'office' | In regular: 0 | In spam: 1
'extraordinary', 'from' | In regular: 0 | In spam: 1
'goes', 'parties' | In regular: 0 | In spam: 1
'workaround', 'divid' | In regular: 0 | In spam: 1
'typically', 'made' | In regular: 0 | In spam: 1
'style', 'annual' | In regular: 0 | In spam: 1
'simon', 'sitesurveykey' | In regular: 0 | In spam: 1
'using', 'computer' | In regular: 0 | In spam: 1
'pocket', 'book' | In regular: 0 | In spam: 1
'references', 'papers' | In regular: 1 | In spam: 0
'main', 'else' | In regular: 0 | In spam: 1
'save', 'money' | In regular: 0 | In spam: 3
'crosswords', 'stuff' | In regular: 0 | In spam: 1
'fighting', 'they' | In regular: 0 | In spam: 1
'http', 'bbcshop' | In regular: 0 | In spam: 1
'bannertag', 'your' | In regular: 0 | In spam: 1
'maps', 'generating' | In regular: 1 | In spam: 0
'something', 'version' | In regular: 0 | In spam: 1
'without', 'putting' | In regular: 0 | In spam: 1
'cookie', 'because' | In regular: 0 | In spam: 1
'days', 'setting' | In regular: 0 | In spam: 1
'hide', 'business' | In regular: 0 | In spam: 1
'kids', 'just' | In regular: 0 | In spam: 1
'satan', 'takes' | In regular: 0 | In spam: 1
'guardian', 'cancer' | In regular: 0 | In spam: 1
'verdana', 'else' | In regular: 0 | In spam: 1
'annual', 'invested' | In regular: 0 | In spam: 1
'nitems', 'else' | In regular: 0 | In spam: 1
'size', 'limbaugh' | In regular: 0 | In spam: 1
'document', 'return' | In regular: 0 | In spam: 2
'receiving', 'your' | In regular: 1 | In spam: 0
'games', 'sales' | In regular: 0 | In spam: 1
'date', 'wed' | In regular: 7 | In spam: 2
'name', 'board' | In regular: 0 | In spam: 1
'inability', 'contract' | In regular: 0 | In spam: 1
'templates', 'releases' | In regular: 0 | In spam: 1
'sports', 'font' | In regular: 0 | In spam: 1
'family', 'abortion' | In regular: 0 | In spam: 1
'patient', 'long' | In regular: 0 | In spam: 1
'they', 'look' | In regular: 1 | In spam: 0
'going', 'game' | In regular: 0 | In spam: 1
'from', 'elzarosenkranzaureusneedaphonecom' | In regular: 0 | In spam: 1
'onloadscript', 'have' | In regular: 0 | In spam: 1
'jnarrohotmailcom', 'luherrerhotmailcom' | In regular: 0 | In spam: 1
'october', 'amsterdam' | In regular: 1 | In spam: 0
'servlet', 'only' | In regular: 0 | In spam: 1
'like', 'paramount' | In regular: 0 | In spam: 1
'failure', 'would' | In regular: 1 | In spam: 0
'highlight', 'what' | In regular: 0 | In spam: 1
'from', 'which' | In regular: 1 | In spam: 0
'unaware', 'story' | In regular: 0 | In spam: 1
'information', 'httpwwwutwentenlnieuwswetenschapsnieuwsindexhtml' | In regular: 1 | In spam: 0
'satchithanandam', 'janczak' | In regular: 0 | In spam: 1
'this', 'onloadscript' | In regular: 0 | In spam: 1
'dollar', 'production' | In regular: 0 | In spam: 1
'simon', 'templates' | In regular: 0 | In spam: 1
'healthcare', 'recruitment' | In regular: 0 | In spam: 1
'current', 'candidates' | In regular: 0 | In spam: 1
'included', 'video' | In regular: 0 | In spam: 1
'lobby', 'this' | In regular: 1 | In spam: 0
'thanksgiving', 'stronger' | In regular: 0 | In spam: 1
'innerwidth', 'updatelayer' | In regular: 0 | In spam: 1
'picture', 'wheels' | In regular: 0 | In spam: 1
'words', 'echoing' | In regular: 0 | In spam: 1
'killed', 'just' | In regular: 0 | In spam: 1
'maggie', 'weir' | In regular: 0 | In spam: 2
'risky', 'function' | In regular: 0 | In spam: 1
'little', 'connell' | In regular: 0 | In spam: 1
'', 'color' | In regular: 0 | In spam: 1
'movelayerto', 'what' | In regular: 0 | In spam: 1
'sizedthe', 'economic' | In regular: 1 | In spam: 0
'cookie', 'begin' | In regular: 0 | In spam: 1
'areas', 'behind' | In regular: 0 | In spam: 1
'horoscopes', 'adsrv' | In regular: 0 | In spam: 1
'style', 'believe' | In regular: 0 | In spam: 1
'single', 'view' | In regular: 0 | In spam: 1
'belonged', 'grandfather' | In regular: 0 | In spam: 1
'first', 'unlikely' | In regular: 0 | In spam: 1
'useragent', 'rssv' | In regular: 0 | In spam: 1
'nwo', 'week' | In regular: 1 | In spam: 0
'font', 'friend' | In regular: 0 | In spam: 1
'visit', 'only' | In regular: 1 | In spam: 0
'feeing', 'k' | In regular: 0 | In spam: 1
'deserve', 'best' | In regular: 0 | In spam: 1
'legal', 'font' | In regular: 0 | In spam: 1
'this', 'annual' | In regular: 0 | In spam: 1
'refers', 'out' | In regular: 0 | In spam: 1
'click', 'wwwnaturecomsubscribe' | In regular: 3 | In spam: 0
'program', 'dont' | In regular: 0 | In spam: 1
'news', 'countries' | In regular: 0 | In spam: 1
'read', 'about' | In regular: 1 | In spam: 0
'writer', 'clearly' | In regular: 0 | In spam: 1
'this', 'better' | In regular: 0 | In spam: 1
'article', 'channel' | In regular: 2 | In spam: 0
'sign', 'this' | In regular: 1 | In spam: 0
'former', 'that' | In regular: 0 | In spam: 1
'negotiated', 'explained' | In regular: 0 | In spam: 1
'saturday', 'weight' | In regular: 0 | In spam: 1
'page', 'arial' | In regular: 0 | In spam: 1
'that', 'data' | In regular: 1 | In spam: 0
'production', 'disney' | In regular: 0 | In spam: 1
'happyi', 'didnt' | In regular: 0 | In spam: 1
'suffix', 'yellow' | In regular: 0 | In spam: 1
'opera', 'roll' | In regular: 0 | In spam: 1
'oncologists', 'immunologists' | In regular: 0 | In spam: 1
'subscribe', 'shopping' | In regular: 0 | In spam: 1
'technical', 'field' | In regular: 1 | In spam: 0
'thought', 'would' | In regular: 0 | In spam: 1
'consciousness', 'active' | In regular: 1 | In spam: 0
'florianbeharhotmailcom', 'mbulacuhotmailcom' | In regular: 0 | In spam: 1
'measure', 'beat' | In regular: 0 | In spam: 1
'huisan', 'some' | In regular: 0 | In spam: 1
'office', 'berlinvheinemannmdcberlinde' | In regular: 3 | In spam: 0
'implementing', 'archives' | In regular: 0 | In spam: 1
'medial', 'prefrontal' | In regular: 1 | In spam: 0
'maxdelbrueckcenter', 'molecular' | In regular: 3 | In spam: 0
'treasure', 'ricefontdiv' | In regular: 1 | In spam: 0
'other', 'label' | In regular: 0 | In spam: 1
'messageid', 'nmsatlagtbggcczmxkdcnmsatlnmsinclocal' | In regular: 0 | In spam: 1
'raymond', 'gibson' | In regular: 0 | In spam: 1
'club', 'font' | In regular: 0 | In spam: 1
'radio', 'templates' | In regular: 0 | In spam: 1
'gallery', 'personal' | In regular: 0 | In spam: 1
'mbulacu', 'antispy' | In regular: 0 | In spam: 1
'overlap', 'autoclass' | In regular: 1 | In spam: 0
'degree', 'certificate' | In regular: 1 | In spam: 0
'will', 'about' | In regular: 0 | In spam: 1
'bang', 'days' | In regular: 0 | In spam: 1
'find', 'window' | In regular: 0 | In spam: 1
'layerobject', 'submitform' | In regular: 0 | In spam: 1
'contract', 'function' | In regular: 0 | In spam: 1
'stores', 'venda' | In regular: 0 | In spam: 1
'more', 'killing' | In regular: 0 | In spam: 1
'management', 'deadlines' | In regular: 0 | In spam: 1
'results', 'cars' | In regular: 0 | In spam: 1
'innerwidth', 'this' | In regular: 0 | In spam: 1
'bush', 'owned' | In regular: 0 | In spam: 1
'newslibrary', 'trigger' | In regular: 0 | In spam: 1
'tags', 'nssrc' | In regular: 0 | In spam: 1
'biertjes', 'stocked' | In regular: 1 | In spam: 0
'than', 'indexof' | In regular: 0 | In spam: 1
'bush', 'will' | In regular: 0 | In spam: 1
'reporters', 'life' | In regular: 0 | In spam: 2
'presidential', 'have' | In regular: 0 | In spam: 1
'herald', 'launching' | In regular: 0 | In spam: 1
'nickel', 'model' | In regular: 0 | In spam: 1
'fc', 'donders' | In regular: 3 | In spam: 0
'nelson', 'environment' | In regular: 0 | In spam: 1
'member', '' | In regular: 4 | In spam: 0
'ginitique', 'moliculaire' | In regular: 2 | In spam: 0
'considering', 'document' | In regular: 0 | In spam: 1
'classdp', 'guaranteedspan' | In regular: 0 | In spam: 2
'buren', 'family' | In regular: 0 | In spam: 1
'well', 'first' | In regular: 0 | In spam: 1
'note', 'family' | In regular: 0 | In spam: 1
'document', 'archives' | In regular: 0 | In spam: 2
'three', 'kinds' | In regular: 0 | In spam: 1
'yfunnyhotmailcom', 'pegasussevhotmailcom' | In regular: 0 | In spam: 1
'about', 'brain' | In regular: 3 | In spam: 0
'colette', 'kraaijenhagen' | In regular: 1 | In spam: 0
'refused', 'research' | In regular: 0 | In spam: 1
'return', 'unlimited' | In regular: 0 | In spam: 1
'window', 'articleauthor' | In regular: 0 | In spam: 1
'text', 'verdana' | In regular: 0 | In spam: 3
'online', 'manipulative' | In regular: 0 | In spam: 1
'esmtp', 'hbnvoj' | In regular: 1 | In spam: 0
'nucleus', 'accumbens' | In regular: 1 | In spam: 0
'parent', 'helicopter' | In regular: 0 | In spam: 1
'antics', 'height' | In regular: 0 | In spam: 1
'silwz', 'wvusvyn' | In regular: 0 | In spam: 1
'', 'institute' | In regular: 1 | In spam: 0
'speaker', 'hanisch' | In regular: 1 | In spam: 0
'salary', 'fringe' | In regular: 1 | In spam: 0
'rdlooking', 'statements' | In regular: 0 | In spam: 1
'below', 'eyes' | In regular: 0 | In spam: 1
'venture', 'seems' | In regular: 0 | In spam: 1
'before', 'december' | In regular: 1 | In spam: 0
'liwei', 'lifted' | In regular: 2 | In spam: 0
'network', 'mbulacunetaccessprovidersnet' | In regular: 0 | In spam: 1
'neuropharmacologydepartment', 'pharmacological' | In regular: 1 | In spam: 0
'xsent', '' | In regular: 1 | In spam: 0
'copyright', 'show' | In regular: 0 | In spam: 1
'release', 'a' | In regular: 1 | In spam: 0
'', 'htmlfontcolorred' | In regular: 0 | In spam: 3
'birds', 'season' | In regular: 0 | In spam: 1
'navy', 'helvetica' | In regular: 0 | In spam: 1
'zoom', 'focus' | In regular: 1 | In spam: 0
'topped', 'list' | In regular: 1 | In spam: 0
'market', 'also' | In regular: 0 | In spam: 1
'always', 'made' | In regular: 0 | In spam: 1
'yang', 'liwei' | In regular: 1 | In spam: 0
'substring', 'votes' | In regular: 0 | In spam: 1
'calm', 'false' | In regular: 0 | In spam: 1
'display', 'and' | In regular: 1 | In spam: 0
'hidden', 'this' | In regular: 0 | In spam: 1
'civilians', 'that' | In regular: 0 | In spam: 1
'else', 'init' | In regular: 0 | In spam: 1
'rate', 'neocortical' | In regular: 1 | In spam: 0
'categories', 'font' | In regular: 0 | In spam: 1
'urge', 'also' | In regular: 1 | In spam: 0
'description', 'material' | In regular: 1 | In spam: 0
'said', 'first' | In regular: 0 | In spam: 1
'sources', 'change' | In regular: 0 | In spam: 1
'menubar', 'america' | In regular: 0 | In spam: 1
'testing', 'results' | In regular: 0 | In spam: 1
'prototype', 'cynicism' | In regular: 0 | In spam: 1
'constructions', 'mere' | In regular: 0 | In spam: 1
'color', 'children' | In regular: 0 | In spam: 1
'dslprodigynetmx', '' | In regular: 0 | In spam: 1
'research', 'issue' | In regular: 0 | In spam: 1
'coffie', 'corner' | In regular: 2 | In spam: 0
'optical', 'imaging' | In regular: 1 | In spam: 0
'lipspanspan', 'cla' | In regular: 0 | In spam: 2
'arkansas', 'size' | In regular: 0 | In spam: 1
'special', 'cookie' | In regular: 0 | In spam: 1
'write', 'prototype' | In regular: 0 | In spam: 1
'banackhotmailcom', 'caren' | In regular: 0 | In spam: 1
'near', 'syracuse' | In regular: 0 | In spam: 1
'between', 'natural' | In regular: 1 | In spam: 0
'avril', 'able' | In regular: 0 | In spam: 1
'image', 'arrowoff' | In regular: 0 | In spam: 1
'cations', 'such' | In regular: 0 | In spam: 1
'', 'references' | In regular: 4 | In spam: 0
'calculations', 'guess' | In regular: 0 | In spam: 1
'distance', 'learning' | In regular: 1 | In spam: 0
'civilians', 'iraq' | In regular: 0 | In spam: 1
'animation', 'product' | In regular: 0 | In spam: 1
'bulacu', 'mbulacuairugnl' | In regular: 3 | In spam: 0
'else', 'always' | In regular: 0 | In spam: 1
'math', 'days' | In regular: 0 | In spam: 1
'core', 'dopamine' | In regular: 1 | In spam: 0
'trtdtable', 'widthd' | In regular: 0 | In spam: 4
'autoclass', 'takes' | In regular: 1 | In spam: 0
'aligndright', 'classdggttd' | In regular: 0 | In spam: 8
'video', 'databases' | In regular: 1 | In spam: 0
